altitude(km),altitude(m),ch4(ppmv),co(ppmv),co2(ppmv),humidity(%),n2o(ppmv),o2(ppmv),o3(ppmv),pressure(hPa),temperature(K)
0.018000000000000002,18.0,1.7,0.14991,410.0,95.76782685809447,0.31,209000.0,0.02421504,1013.6279367375806,273.5678046712548
0.06,60.0,1.7,0.1497,410.0,97.54131161461665,0.31,209000.0,0.024436799999999998,1008.3193651391474,273.1132568845158
0.1,100.0,1.7,0.1495,410.0,99.56868844735988,0.31,209000.0,0.024648,1003.2824241084046,272.7015078207496
0.15,150.0,1.7,0.14925,410.0,101.31470052533828,0.31,209000.0,0.024912,997.0118465491165,272.2525044569787
0.2,200.0,1.7,0.149,410.0,100.92038881361078,0.31,209000.0,0.025176,990.7696234920165,271.94974815393
0.25,250.0,1.7,0.14875,410.0,99.85748468312408,0.31,209000.0,0.025439999999999997,984.5636044874047,271.69411534998807
0.3,300.0,1.7,0.1485,410.0,99.2185106976483,0.31,209000.0,0.025703999999999998,978.3884417389719,271.37121487322304
0.35000000000000003,350.0,1.7,0.14825,410.0,98.91285590844609,0.31,209000.0,0.025967999999999998,972.2437420638953,271.012897516162
0.36,360.0,1.7,0.1482,410.0,98.89624503505176,0.31,209000.0,0.0260208,971.0173302845623,270.93531634265156
0.37,370.0,1.7,0.14815,410.0,98.86376838250648,0.31,209000.0,0.0260736,969.7910724488439,270.86077695572936
0.38,380.0,1.7,0.14809999999999998,410.0,98.19940193267695,0.31,209000.0,0.0261264,968.5712776844802,270.8790999005809
0.39,390.0,1.7,0.14805,410.0,97.4773911692029,0.31,209000.0,0.0261792,967.352111908958,270.90253750260234
0.4,400.0,1.7,0.148,410.0,96.75538040572886,0.31,209000.0,0.026232,966.1329461334358,270.92597510462383
0.45,450.0,1.7,0.14775,410.0,87.11859677907363,0.31,209000.0,0.026496,960.0777290800545,272.2788949575745
0.5,500.0,1.7,0.1475,410.0,71.42611615341714,0.31,209000.0,0.02676,954.1034610751879,274.9948182683521
0.52,520.0,1.7,0.1474,410.0,64.76532088192802,0.31,209000.0,0.0268656,951.7436386439578,276.26009515532957
0.5700000000000001,570.0,1.7,0.14715,410.0,53.372205745913966,0.31,209000.0,0.0271296,945.8977238922024,278.4057438345715
0.62,620.0,1.7,0.1469,410.0,47.564867297000546,0.31,209000.0,0.0273936,940.111612653635,279.4257609221158
0.72,720.0,1.7,0.1464,410.0,42.581841352651594,0.31,209000.0,0.027921599999999998,928.6923079069416,279.49257987885613
0.78,780.0,1.7,0.14609999999999998,410.0,39.82737199833612,0.31,209000.0,0.0282384,921.89514737666,279.4433225154555
0.81,810.0,1.7,0.14595,410.0,38.344802485383426,0.31,209000.0,0.0283968,918.5275022991244,279.448163608839
0.86,860.0,1.7,0.1457,410.0,35.87385329712895,0.31,209000.0,0.0286608,912.9147605032316,279.45623209781155
0.92,920.0,1.7,0.1454,410.0,33.4115007067194,0.31,209000.0,0.0289776,906.2509646511064,279.4170559183717
1.1,1100.0,1.7,0.14448999999999998,410.0,29.091650913843,0.31,209000.0,0.029838999999999997,886.5053268927286,279.26068027977783
1.25,1250.0,1.7,0.143725,410.0,28.770126601602485,0.31,209000.0,0.0304975,870.3743359058436,279.1369221623526
1.4000000000000001,1400.0,1.7,0.14296,410.0,30.468950863978606,0.31,209000.0,0.031156,854.5195520694616,278.8861273730636
1.6,1600.0,1.7,0.14193999999999998,410.0,40.14149297609392,0.31,209000.0,0.032034,833.802619864296,278.1060663250119
1.8,1800.0,1.7,0.14092,410.0,52.898227900812614,0.31,209000.0,0.032912,813.5348502895868,276.82252825113653
2.0,2000.0,1.7,0.1399,410.0,57.58627306889074,0.31,209000.0,0.03379,793.6507682975416,275.35331935358244
2.2,2200.0,1.7,0.1389,410.0,55.273727478597316,0.31,209000.0,0.034806000000000004,774.1476275682022,273.9877440089276
2.4,2400.0,1.7,0.1379,410.0,50.87703800564257,0.31,209000.0,0.035822,755.0398079854606,272.9284142340679
2.6,2600.0,1.7,0.1369,410.0,48.63108002126877,0.31,209000.0,0.036838,736.3433916716102,272.0513714881881
2.8000000000000003,2800.0,1.7,0.1359,410.0,47.98622892274023,0.31,209000.0,0.037854,718.0559094687023,271.0919177376187
3.0,3000.0,1.7,0.1349,410.0,47.65854782228972,0.31,209000.0,0.03887,700.1590355961914,269.9715087735565
3.2,3200.0,1.6994,0.13416,410.0,46.995319482153484,0.30958,209000.0,0.040052000000000004,682.6306122843413,268.7172985114366
3.6,3600.0,1.6982,0.13268,410.0,42.03657800192957,0.30874,209000.0,0.042416,648.5993684421951,266.01244427945016
3.8000000000000003,3800.0,1.6976,0.13194,410.0,36.69312347166609,0.30832,209000.0,0.043598,632.0636621127576,264.6957739920345
4.0,4000.0,1.697,0.1312,410.0,29.2455999347493,0.3079,209000.0,0.04478,615.958151512426,263.62322937962125
4.2,4200.0,1.695,0.13102,410.0,22.290357250447396,0.3068,209000.0,0.04648,600.1908652996898,262.680791400204
4.4,4400.0,1.693,0.13084,410.0,17.001506806945585,0.3057,209000.0,0.04818,584.7310129593105,261.75739342021274
